週別,課程主題,課程大綱
第一週7月21日,機率統計與資料科學,資料科學的統計實務資料科學的建模基礎資料科學及大數據的產業運用探索式資料分析與資料視覺化
第一週7月22日,產業 AI 現狀與 AI 概論,學校介紹與AI概論台灣產業AI化的今日與明日
第二週7月28日,機器學習與演算法概論,機器學系概論非監督式學習方法監督式學習方法學習理論、泛化與特徵重要性
第二週7月29日,深度學習原理與實務,深度學習簡介深度學習實務技巧與前瞻技術對抗式學習入門強化學習入門
第三週8月4日,電腦視覺概論,CNN 原理簡介代表性 CNN 模型CNN 於電腦視覺之應用與實際案例
第三週8月5日,智慧製造與生產線上的資料科學,智慧製造的理論與實務製造生產數據與AI應用
第四週8月11日,手把手資料分析實作,AI 手把手實作 (Python / ML)
第四週8月12日,手把手資料分析實作生成式AI實作,手把手的資料分析 / Python-資料分析手把手的機器學習 / Python-機器學習
第五週8月18日,預測性分析 & 錯誤偵測於製造業,預測性維修在智慧製造運用人工智慧在智慧排程運用人工智慧在錯誤偵測
第五週8月19日,運用人工智慧在製造生產排程智慧製造與精實管理,智慧排程從精實生產到智慧製造
第六週8月25日,人工智慧於製造業的實例 &運用,人工智慧在供應鏈管理的應用與案例AI在水資源與能源管理的產業應用
第六週8月26日,永續供應鏈管理 & 製程參數優化,運用人工智慧在製程參數優化啟動到落地產業 AI 化無可逃避的資料治理與 MLOpsAI應用研發與供應鏈的實務分享
第七週9月1日,AI on Sustainability & 淨零碳排與綠色製造,ESG節能減碳應用案例
第七週9月2日,專題演講&專題成果分享&結業典禮,專題成果分享結業典禮
第八週9月15日,2023 台灣人工智慧年會,
第八週9月16日,2023 台灣人工智慧年會,
