週別,課程主題,課程大綱
第一週5月12日,產業 AI 現狀與 AI 概論,台灣產業 AI 化的今日與明日AI 新時代的起點
第一週5月13日,資料科學與大數據分析,資料科學的統計實務資料科學的建模基礎資料科學及大數據的產業運用探索式資料分析與資料視覺化
第二週5月19日,機器學習與演算法概論,機器學系概論非監督式學習方法監督式學習方法學習理論、泛化與特徵重要性
第二週5月20日,深度學習原理與實務,深度學習簡介深度學習實務技巧與前瞻技術對抗式學習入門強化學習入門
第三週5月26日,電腦視覺概論,CNN 原理簡介代表性 CNN 模型CNN 於電腦視覺之應用與實際案例
第三週5月27日,智慧製造與生產線上的資料科學,智慧製造與資料預處理技巧 & 連續性製程相關案例
第四週6月2日,手把手資料分析實作,AI 手把手實作 (Python / ML)數據中台建置規劃實務
第四週6月3日,手把手的深度學習 &AI 實作案例介紹,手把手的機器學習 / Python-機器學習零缺陷製造
第五週6月9日,運用人工智慧在製造生產排程智慧製造與精實管理,智慧製造的最後一哩？智慧排程從精實生產到智慧製造
第五週6月10日,預測性分析 & 錯誤偵測於製造業,預測性維修在智慧製造運用人工智慧在錯誤偵測AutoML落地實戰經驗分享
第六週6月30日,人工智慧於製造業的實例 &運用,人工智慧在供應鏈管理的應用與案例高科技製造業的數位轉型個案落地分享
第六週7月1日,永續供應鏈管理 & 製程參數優化,運用人工智慧在製程參數優化啟動到落地產業 AI 化無可逃避的資料治理與 MLOpsAI 在水資源與能源管理的產業應用
第七週7月7日,移地學習參訪,科技大廠或新創基地參訪應用案例 + 產業鏈合作 + 互動討論
第七週7月8日,專題演講&專題競賽&結業典禮,綠色智慧製造產業創新競賽 & 結業典禮
