週別,課程主題,課程大綱
第一週11月11日,產業 AI 現狀與 AI 概論,台灣產業 AI 化的今日與明日AI 新時代的起點
第二週11月18日,資料科學與大數據分析,資料科學的統計實務資料科學的建模基礎資料科學及大數據的產業運用探索式資料分析與資料視覺化
第三週11月25日,機器學習與演算法概論,機器學系概論非監督式學習方法監督式學習方法學習理論、泛化與特徵重要性
第四週12月2日,深度學習入門,深度學習簡介深度學習實務技巧與前瞻技術對抗式學習入門強化學習入門
第五週12月9日,AI 手把手實作 (Python / ML)AI 平台 (AutoML / MLOps),Python 手把手資料分析實作手把手的機器學習案例與實作AI 平台介紹
第六週12月16日,電腦視覺概論,計算機視覺簡介卷積神經網絡代表性模型應用和最新技術 
第七週12月23日,生成式 AI 與大型語言模型理論,大型語言模型 (LLM) 理論 生成式 AI 技術發展趨勢
2023/12/30，元旦假期，停課一次
第八週1月6日,AIGC 圖像生成（Midjourney）,AI 生成如何加速視覺溝通 Midjourney AI 圖像生成入門 AIGC工具綜合應用案例
2024/01/13，選舉，停課一次
第九週1月20日,AIGC 文字生成（ChatGPT）,ChatGPT 指南了解 ChatGPT 的 prompt 模板，學會與 AI 溝通ChatGPT 整合到應用
第十週1月27日,社群媒體&推薦系統,社群分析可以為組織帶來什麼好處?社群數據分析分享關聯式、內容、協同式、深度學習推薦
第十一週2月3日,人工智慧開發環境建置,使用者體驗設計的方法論Web3 、元宇宙的使用者體驗智慧製造＆建立AI 團隊之挑戰
2024/02/10，農曆春節，停課一次
2024/02/17，補上班，停課一次
第十二週2月24日,AI 的產業應用-1 (智慧金融與服務),人工智慧在金融／服務業的應用數據行銷
第十三週3月2日,AI 的產業應用-2 (智慧製造),智慧製造的理論與實務製造生產數據與AI應用
第十四週3月9日,ESG & 金融科技策略／結業暨產業創新競賽,ESG & 金融科技策略 / 產業創新競賽 & 結業典禮
