開課日期,報名截止日,課程名稱,上課地點
2024/08/24,2024/08/07,技術領袖培訓全域班第五期招生簡章,全域班別
2024/08/03,2024/07/22,大型語言模型實作進階班(第四期)招生簡章,全域班別
2024/07/06,2024/06/24,台北總校第二十期經理人週末研修班招生簡章,全域班別
2024/07/03,2024/06/24,大型語言模型實作初階班(第四期)招生簡章,全域班別
2024/04/17,2024/04/08,大型語言模型實作初階班(第三期)招生簡章,全域班別
2024/03/16,2024/03/04,台北總校第十九期經理人週末研修班招生簡章,全域班別
2024/03/09,2024/02/14,大型語言模型實作進階班(第二期)招生簡章,全域班別
2024/02/24,2024/02/14,大型語言模型實作初階班(第二期)招生簡章,全域班別
2024/01/30,2024/01/15,AIGC實戰冬令營：高中生的第一個生成式AI營隊,台中分校
2024/01/20,2024/01/04,技術領袖培訓全域班第四期招生簡章,全域班別
2023/12/09,2023/11/16,大型語言模型實作進階班(LLM-B)招生簡章,全域班別
2023/11/25,2023/11/17,大型語言模型實作初階班(LLM-A)招生簡章,全域班別
2023/11/11,2023/10/26,台北總校第十八期經理人研修班招生簡章,全域班別
2023/07/26,2023/07/10,AIGC實戰夏令營：高中生的第一個生成式AI營隊,台北總校
2023/07/22,2023/07/10,北部智慧醫療專班第六期招生簡章,台北總校
2023/07/21,2023/07/03,✨⚙️台中分校第十二期產業AI專班（智慧製造）招生簡章⚙️✨,台中分校
2023/07/15,2023/06/29,技術領袖培訓全域班第三期招生簡章,全域班別
2023/07/15,2023/06/29,台北總校第十六期經理人研修班招生簡章,全域班別
2023/07/01,2023/06/28,AIGC實戰工作坊：ChatGPTX智慧工作新世紀,台中分校
2023/05/12,2023/05/01,✨⚙️台北總校第十七期產業AI專班(智慧製造)招生簡章⚙️✨,台北總校
